Invoice number	5306086325																
Invoice date	6/30/25																
Due date																	
Billing ID	7541-9412-8681																
Billing account ID	01075F-52A925-744C3F																
Currency	HKD																
Currency exchange rate	7.8381																
Total amount due	$0.00 																
Billing account name	Billing account ID	Project name	Project ID	Project hierarchy	Service description	Service ID	SKU description	SKU ID	Consumption model description	Credit type	Cost type	Usage start date	Usage end date	Usage amount	Usage unit	Unrounded Cost ($)	Cost ($)
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from Taiwan to Apac(Excluding Korea and Indonesia)	39C4-C178-DBED	Default		Usage	6/9/25	6/30/25	3.902	gibibyte	3.670137	3.67
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Networking	E505-1604-58F8	Network Intelligence Center Network Analyzer Resource Hours	9BF8-CD36-F9B8	Default		Usage	6/9/25	6/30/25	361	count	3.112181	3.11
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Networking	E505-1604-58F8	Network Intelligence Center Topology and Google Cloud Performance Resource Hours	D9AD-28F8-05D8	Default		Usage	6/9/25	6/30/25	361	count	3.112181	3.11
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Networking	E505-1604-58F8	Network Intelligence Center Internet to Google Cloud Performance Resource Hours	BDBA-22FA-3925	Default		Usage	6/9/25	6/30/25	361	count	2.26347	2.26
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to Americas	16CF-89EF-CC17	Default		Usage	6/9/25	6/30/25	2.141	gibibyte	2.014062	2.01
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content output token count gemini 2.5 flash short output text non-thinking	6EDB-2409-6348	Default		Usage	6/9/25	6/28/25	6,384	count	0.106447	0.11
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to EMEA	F91A-E0CA-2AED	Default		Usage	6/9/25	6/30/25	0.106	gibibyte	0.099362	0.1
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Internet Data Transfer Out from APAC to China	095B-F9A9-8693	Default		Usage	6/9/25	6/30/25	0.04	gibibyte	0.071394	0.07
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Region Data Transfer Out from APAC to Americas	9DD2-181C-279A	Default		Usage	6/9/25	6/30/25	0.112	gibibyte	0.070109	0.07
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent text output token count for Gemini 2.0 Flash	2F6F-C249-0F1B	Default		Usage	6/9/25	6/30/25	13,666	count	0.042831	0.04
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Data Transfer Out via Carrier Peering Network - APAC Based	9428-46F3-3796	Default		Usage	6/9/25	6/30/25	0.015	gibibyte	0.007055	0.01
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	GenerateContent text input token count for Gemini 2.0 Flash	96EA-8692-BEAE	Default		Usage	6/9/25	6/30/25	5,592	count	0.004367	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Gemini API	AEFD-7695-64FA	Generate content output token count Gemini 2.5 Pro Experimental short input text	7876-BA4E-1F98	Default		Usage	6/9/25	6/9/25	31	count	0.002428	0
My Billing Account	01075F-52A925-744C3F	FNTX AI	fabled-cocoa-443004-n3	bearhedge.com	Compute Engine	6F81-5844-456A	Network Inter Zone Data Transfer Out	DE9E-AFBC-A15A	Default		Usage	6/9/25	6/30/25	0.003	gibibyte	0.000195	0
